canonical_project_id,project_id,base_risk_score,anomaly_score,trajectory_risk_score,data_confidence_score,final_risk_score,risk_category,future_deterioration_probability,predicted_future_deterioration,risk_explanation,predictive_risk_band
618621,618621,38.08,-0.09808044811199573,30.0,90.0,32.8,MEDIUM,0.1541,0,Limited Adverse Evidence,LOW_PREDICTIVE_SIGNAL
618622,618622,11.4,-0.09860213923090788,30.0,90.0,13.14,LOW,0.1933,0,Limited Adverse Evidence,LOW_PREDICTIVE_SIGNAL
618623,618623,8.24,-0.09693608069871373,30.0,85.7,10.81,LOW,0.0434,0,Limited Adverse Evidence,LOW_PREDICTIVE_SIGNAL
618624,618624,99.61,-0.13193270715063377,60.0,52.1,82.87,HIGH,0.3507,0,Progress Stagnation,WATCH
618625,618625,81.66,-0.13103026332082163,30.0,52.1,64.91,HIGH,0.097,0,Limited Adverse Evidence,LOW_PREDICTIVE_SIGNAL
618626,618626,0.0,-0.06095164141844267,10.0,85.7,1.58,LOW,0.2771,0,Limited Adverse Evidence,LOW_PREDICTIVE_SIGNAL
618627,618627,0.0,-0.07001106347407227,10.0,90.0,1.58,LOW,0.1315,0,Limited Adverse Evidence,LOW_PREDICTIVE_SIGNAL
618628,618628,13.07,-0.00041955859540049323,10.0,85.7,11.21,LOW,0.0716,0,Limited Adverse Evidence,LOW_PREDICTIVE_SIGNAL
618629,618629,40.04,-0.10685602196487892,60.0,85.7,38.98,MEDIUM,0.161,0,Progress Stagnation,LOW_PREDICTIVE_SIGNAL
618630,618630,0.0,-0.10183685274530158,30.0,90.0,4.74,LOW,0.0385,0,Limited Adverse Evidence,LOW_PREDICTIVE_SIGNAL
618631,618631,35.71,-0.11397782524526312,60.0,85.7,35.79,MEDIUM,0.0788,0,Progress Stagnation,LOW_PREDICTIVE_SIGNAL
618632,618632,14.61,-0.10379464018169354,30.0,90.0,15.5,LOW,0.146,0,Limited Adverse Evidence,LOW_PREDICTIVE_SIGNAL
618633,618633,0.51,-0.07452480004983125,30.0,77.1,5.11,LOW,0.0599,0,Limited Adverse Evidence,LOW_PREDICTIVE_SIGNAL
618634,618634,35.71,-0.1135625496919887,60.0,90.0,35.79,MEDIUM,0.1564,0,Progress Stagnation,LOW_PREDICTIVE_SIGNAL
